artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname,pos
The Who,Mary - Alternative Mix / Remastered 2022,Who’s Next : Life House (Super Deluxe),Album,2023-09-15,Baba O'Riley - Remastered 2022 (05:03)/Bargain - Remastered 2022 (05:34)/Love Ain't For Keeping - Remastered 2022 (02:11)/My Wife - Remastered 2022 (03:36)/The Song Is Over - Remastered 2022 (06:24)/Getting In Tune - Remastered 2022 (04:51)/Going Mobile - Remastered 2022 (03:45)/Behind Blue Eyes - Remastered 2022 (03:42)/Won't Get Fooled Again - Remastered 2022 (08:34)/Teenage Wasteland - Lifehouse Chronicles / Remastered 2022 (06:47)/Too Much - Lifehouse Chronicles / Demo / Remastered 2022 (05:37)/Going Mobile - Lifehouse Chronicles / Demo / Remastered 2022 (04:15)/There's A Fortune In Those Hills - Demo / Remastered 2022 (04:09)/Love Ain't For Keeping - Lifehouse Chronicles / Demo / Remastered 2022 (01:33)/Bargain - Lifehouse Chronicles / Demo / Remastered 2022 (04:31)/Greyhound Girl - Lifehouse Chronicles / Demo / Remastered 2022 (03:09)/Mary - Alternative Mix / Remastered 2022 (04:19)/Behind Blue Eyes - Lifehouse Chronicles / Demo / Remastered 2022 (03:28)/Time Is Passing - Lifehouse Chronicles / Demo / Remastered 2022 (03:28)/Finally Over - Demo / Remastered 2022 (06:09)/Baba O'Riley - Original Demo / Remastered 2022 (13:15)/Pure And Easy - Lifehouse Chronicles / Home Studio Mix / Remastered 2022 (08:39)/Getting In Tune - Lifehouse Chronicles / Alternative Mix / Remastered 2022 (03:57)/Nothing Is Everything (Let's See Action) - Lifehouse Chronicles / Demo / Remastered 2022 (06:23)/Won't Get Fooled Again - Lifehouse Chronicles / Demo / Remastered 2022 (08:33)/Baba O'Riley - Lifehouse Chronicles / Demo / Remastered 2022 (07:48)/The Song Is Over - Lifehouse Chronicles / 2021 Remix / Remastered 2022 (05:44)/Pure And Easy - Olympic Studio Mix / Demo / Remastered 2022 (05:32)/Mary - Lifehouse Chronicles / Original Mix / Demo / Remastered 2022 (04:23)/Baba O'Riley - First Editing Demo / Remastered 2022 (07:53)/The Song Is Over - Lifehouse Chronicles / Original Demo / Remastered 2022 (05:39)/Baby Don't You Do It - New York Record Plant Sessions / 1971 / Take 2 / Unedited / Remastered 2022 (08:55)/Won't Get Fooled Again - New York Record Plant Sessions / 1971 / Take 13 / Remastered 2022 (09:13)/Behind Blue Eyes - New York Record Plant Sessions / 1971 / Version 1 / Take 15 / Remastered 2022 (04:23)/Love Ain't For Keeping - New York Record Plant Sessions / 1971 / Take 14 / Remastered 2022 (04:50)/The Note (aka Pure And Easy) - New York Record Plant Sessions / 1971 / Take 21 / Remastered 2022 (05:21)/I’m In Tune (aka Getting In Tune) - New York Record Plant Sessions / 1971 / Take 6 / Remastered 2022 (07:27)/Behind Blue Eyes - New York Record Plant Sessions / 1971 / Version 2 / Take 10 / Remastered 2022 (04:03)/Pure And Easy - New Unedited Remix (05:32)/I Don't Even Know Myself - Original Mix With Count In (05:00)/Time Is Passing - Original Mix / Stereo (03:36)/Too Much Of Anything - Original Mix With Count In And Original Vocal (04:34)/Naked Eye - Remake Version (05:59)/Bargain - Early Mix With Single-Tracked Vocal (05:39)/Love Ain't For Keeping - Unedited Remix (02:17)/My Wife - Unedited Remix (04:28)/Getting In Tune - Warm-Up Jam / Take 1 (06:58)/Going Mobile - Early Alternate Mix (03:55)/The Song Is Over - Basic Track (06:16)/When I Was A Boy - Remix (03:36,https://i.scdn.co/image/ab67616d00001e02b738367ec6cdbd3e29d7efdf,Classic Rock/Rock,"Who, The",853.0
The Kinks,"Yes Sir, No Sir (2019 Remaster)",Arthur or the Decline and Fall of the British Empire (2019 Remaster),Album,1969-10-10,"Victoria (2019 Remaster) (03:39)/Yes Sir, No Sir (2019 Remaster) (03:46)/Some Mother's Son (2019 Remaster) (03:24)/Drivin' (2019 Remaster) (03:19)/Brainwashed (2019 Remaster) (02:34)/Australia (2019 Remaster) (06:45)/Shangri-La (2019 Remaster) (05:20)/Mr. Churchill Says (2019 Remaster) (04:42)/She's Bought a Hat Like Princess Marina (2019 Remaster) (03:07)/Young and Innocent Days (2019 Remaster) (03:21)/Nothing to Say (2019 Remaster) (03:08)/Arthur (2019 Remaster) (05:27",https://i.scdn.co/image/ab67616d00001e02d05d5e13095ee2c342ed00bb,Proto-punk/Baroque Pop,"Kinks, The",33.0
King Crimson,"Larks' Tongues In Aspic, Pt. I - Live at The Anthem, Washington DC","Music Is Our Friend (Live in Washington and Albany, 2021)",Album,2021-11-19,"Introductory Soundscape - Live at The Anthem, Washington DC (06:53)/The Hell Hounds Of Krim - Live at The Anthem, Washington DC (03:35)/Larks' Tongues In Aspic, Pt. I - Live at The Anthem, Washington DC (08:03)/Pictures Of A City - Live at The Anthem, Washington DC (08:34)/The Court Of The Crimson King - Live at The Anthem, Washington DC (09:46)/Red - Live at The Anthem, Washington DC (06:07)/Tony Cadenza Deals It Slitheryacious-To-The-Max - Live at The Anthem, Washington DC (01:10)/Neurotica - Live at The Anthem, Washington DC (04:46)/One More Red Nightmare - Live at The Anthem, Washington DC (06:08)/Indisciipline - Live at The Anthem, Washington DC (09:20)/Epitaph - Live at The Anthem, Washington DC (09:07)/Radical Action II - Live at The Anthem, Washington DC (02:28)/Level Five - Live at The Anthem, Washington DC (07:06)/Starless - Live at The Anthem, Washington DC (15:21)/21st Century Schizoid Man - Live at The Anthem, Washington DC (14:40)/Tony Cadenza Serves It Piping Hot - Live at The Egg, Albany, NY (01:18)/Discipline - Live at The Egg, Albany, NY (05:07)/Larks' Tongues In Aspic, Pt. II - Live at The Egg, Albany, NY (06:53)/Islands - Live at The Egg, Albany, NY (09:08",https://i.scdn.co/image/ab67616d00001e028eedb3859acb670f686dd1ab,Progressive Rock/Art Rock/Symphonic Rock/Psychedelic Rock,King Crimson,136.0
Bill Evans Trio,Israel,Explorations [Original Jazz Classics Remasters],Album,1961,Israel (06:11)/Haunted Heart (03:27)/Beautiful Love (05:05)/Elsa (05:11)/Nardis (05:50)/How Deep Is The Ocean (03:33)/I Wish I Knew (04:40)/Sweet And Lovely (05:53)/The Boy Next Door (05:06)/Beautiful Love (Take 1) (06:06)/How Deep Is The Ocean (Take 2) (03:47)/I Wish I Knew (Take 2) (05:07,https://i.scdn.co/image/ab67616d00001e02c9c0b0eb630bc09ac89ad51d,Jazz/Cool Jazz/Hard Bop,Bill Evans Trio,0.0
Jimmy Smith,When Johnny Comes Marching Home,Crazy Baby,Album,1989-01-01,When Johnny Comes Marching Home (07:58)/Makin' Whoopee (04:57)/A Night In Tunisia (05:39)/Sonnymoon For Two (07:17)/Mack The Knife (04:58)/What's New (03:50)/Alfredo (04:31)/If I Should Lose You (06:30)/When Lights Are Low (05:39,https://i.scdn.co/image/ab67616d00001e02da8da2fccb8ae21d66a1e90a,Hard Bop/Soul Jazz/Jazz/Jazz Blues/Jazz Funk/Cool Jazz,"Smith, Jimmy",0.0
Chick Corea,Love Castle,My Spanish Heart,Album,1976-01-01,Love Castle (04:45)/The Gardens (03:12)/Day Danse (04:27)/My Spanish Heart (01:37)/Night Streets (06:08)/The Hilltop (06:16)/The Sky (04:57)/Wind Danse (05:00)/Armando's Rhumba (05:19)/Prelude To El Bozo (01:34)/El Bozo - Pt. 1 (02:52)/El Bozo - Pt. 2 (02:03)/El Bozo - Pt. 3 (05:03)/Spanish Fantasy - Pt. 1 (06:06)/Spanish Fantasy - Pt. 2 (05:14)/Spanish Fantasy - Pt. 3 (03:06)/Spanish Fantasy - Pt. 4 (05:16)/The Clouds (04:33,https://i.scdn.co/image/ab67616d00001e0284da852fc362126bd3fd3299,Jazz Fusion/Jazz/Latin Jazz/Free Jazz,"Corea, Chick",0.0
Miles Davis,"Sivad - Live at the Cellar Door, Washington, DC - December 1970",Live - Evil,Album,1971-11-17,"Sivad - Live at the Cellar Door, Washington, DC - December 1970 (15:13)/Little Church - Live at the Cellar Door, Washington, DC - December 1970 (03:14)/Medley: Gemini / Double Image - Live at the Cellar Door, Washington, DC - December 1970 (05:53)/What I Say - Live at the Cellar Door, Washington, DC - December 1970 (21:09)/Nem um Talvez - Live at the Cellar Door, Washington, DC - December 1970 (04:03)/Selim - Live at the Cellar Door, Washington, DC - December 1970 (02:13)/Funky Tonk - Live at the Cellar Door, Washington, DC - December 1970 (23:25)/Inamorata and Narration By Conrad Roberts - Live at the Cellar Door, Washington, DC - December 1970 (26:29",https://i.scdn.co/image/ab67616d00001e02c0e9362ffd0766db1b0f5469,Jazz/Cool Jazz/Hard Bop/Bebop/Jazz Fusion/Jazz Blues/Free Jazz,"Davis, Miles",0.0
Umphrey's McGee,Whistle Kids,it's not us,Album,2018-01-12,The Silent Type (03:30)/Looks (03:05)/Whistle Kids (03:36)/Half Delayed (03:36)/Maybe Someday (06:36)/Remind Me (07:37)/You & You Alone (03:58)/Forks (04:28)/Speak Up (06:04)/Piranhas (04:19)/Dark Brush (06:04,https://i.scdn.co/image/ab67616d00001e02297c2d698743cb9ea7ef3689,Jam Band/Newgrass,Umphrey's McGee,38.0
Franco Battiato,Le tue radici,Universi paralleli di Franco Battiato,Compilation,2018-09-28,Atlantide - Live 2003 (03:10)/Strani Giorni - Live 2003 (03:44)/Shock In My Town - Live 2003 (03:56)/E ti vengo a cercare - Live 2003 (03:46)/La cura - Live 2003 (04:07)/Mesopotamia - Live 2003 (04:21)/Lode All'Inviolato - Live 2003 (03:10)/Stranizza D'Amuri - Live 2003 (02:13)/La stagione dell'amore - Live 2003 (02:50)/Povera Patria - Live 2003 (03:46)/Medley Last Summer Dance - Live 2003 (08:23)/L'animale - Live 2003 (02:54)/L'era del cinghiale bianco - Live 2003 (03:02)/Cuccuruccuccu - Live 2003 (04:11)/Centro di gravità permanente - Live 2003 (04:15)/Auto Da Fè - live (03:56)/Voglio vederti danzare - live (03:27)/Insieme a te non ci sto piu' (03:12)/Perduto amore (03:17)/Il cielo in una stanza (03:11)/Se mai (03:06)/Ritornerai (03:25)/Col tempo sai (03:34)/Impressioni di settembre (03:40)/Le tue radici (03:20)/Hey Joe (03:34)/Se tu sapessi (03:17)/Sigillata con un bacio (Sealed with a Kiss) - Italian Version (03:20)/Come un sigillo (03:04)/Beim schlafengehen (02:54)/La Mer (03:00)/Prologo (02:26)/Running Against The Grain (03:42)/Bist Du Bei Mir (04:19)/La quiete dopo un addio (03:54)/Personalità Empirica (03:34)/Il cammino interminabile (03:44)/Lontananze D'Azzurro (03:29)/Sarcofagia (03:42)/Scherzo in minore (03:21)/Il Potere Del Canto (04:03)/Tra sesso e castità (03:25)/Le aquile non volano a stormi (03:26)/Ermeneutica (03:34)/Fortezza Bastiani (03:20)/Odore di polvere da sparo (03:28)/I'm that (03:32)/Conforto alla vita (03:22)/23 coppie di cromosomi (03:33)/Apparenza e realtà (03:38,https://i.scdn.co/image/ab67616d00001e021773a7b8623a39d8da4ed9e6,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",804.0
Chick Corea,Pannonica,"Now He Sings, Now He Sobs (Expanded Edition)",Album,1968-12-01,"Steps-What Was (13:50)/Matrix (06:28)/Now He Sings, Now He Sobs (07:03)/Now He Beats The Drum, Now He Stops (10:35)/The Law Of Falling And Catching Up (02:28)/Samba Yantra (02:41)/Bossa (04:44)/I Don't Know (02:43)/Fragments (04:03)/Windows (03:12)/Gemini (04:23)/Pannonica (03:00)/My One And Only Love (03:34",https://i.scdn.co/image/ab67616d00001e02164e2d6f045dbf3118174a2f,Jazz Fusion/Jazz/Latin Jazz/Free Jazz,"Corea, Chick",264.0
